city_name,city_number,cloudiness,country,date,humidity,lat,lon,max_temp,win_peed
Tiznit Province,2527087,27,MA,1613163155,66,29.5833,-9.5,290.21,1.07
Ulladulla,2145554,90,AU,1613163154,100,-35.35,150.4667,291.48,4.63
Punta Arenas,3874787,0,CL,1613163048,44,-53.15,-70.9167,288.15,6.69
Dicabisagan,1715015,80,PH,1613163155,84,17.0818,122.4157,295.98,2.84
Susanville,5572400,1,US,1613163135,53,40.4163,-120.653,282.15,3.09
Waingapu,1622318,100,ID,1613163155,82,-9.6567,120.2641,298.53,2.07
Kapaa,5848280,40,US,1613162920,64,22.0752,-159.319,296.48,4.12
Mataura,6201424,100,NZ,1613163088,89,-46.1927,168.8643,285.93,0.89
Ushuaia,3833367,40,AR,1613163084,36,-54.8,-68.3,289.15,9.26
Dikson,1507390,100,RU,1613163090,87,73.5069,80.5464,241.34,5.11
Saint Paul Harbor,5866583,90,US,1613163094,80,57.79,-152.4072,274.15,6.69
Chicama,3698359,0,PE,1613163291,83,-7.8447,-79.1469,297.15,6.17
Tiksi,2015306,38,RU,1613163090,91,71.6872,128.8694,249.38,0.53
Charters Towers,2171722,66,AU,1613163131,79,-20.1,146.2667,295.09,3.75
Avarua,4035715,40,CK,1613163092,74,-21.2078,-159.775,301.15,2.06
Chokurdakh,2126123,99,RU,1613162923,73,70.6333,147.9167,243.69,1.34
Nouadhibou,2377457,0,MR,1613163291,72,20.931,-17.0347,292.15,7.72
Albany,5106841,99,US,1613162916,34,42.6001,-73.9662,266.48,1.92
Port Alfred,964432,65,ZA,1613163093,95,-33.5906,26.891,295.93,3.58
Port Elizabeth,964420,91,ZA,1613163083,77,-33.918,25.5701,298.71,0.45
Barrow,5880054,20,US,1613162899,70,71.2906,-156.7887,250.15,4.12
Manyana,933416,75,BW,1613163292,69,-23.4,21.7167,294.83,0.83
Mana,3381041,87,GF,1613162984,86,5.6592,-53.7767,298.68,6.01
Thompson,6165406,20,CA,1613163094,76,55.7435,-97.8558,244.15,1.54
Bridgetown,3374036,40,BB,1613163284,57,13.1,-59.6167,301.15,9.26
Verkhnevilyuysk,2013639,100,RU,1613163293,87,63.4453,120.3167,246.91,2.63
Tuktoyaktuk,6170031,75,CA,1613162882,78,69.4541,-133.0374,254.15,4.12
Dibrugarh,1272648,1,IN,1613163293,55,27.4833,94.9,289.52,1.75
Imperial Beach,5359054,40,US,1613163017,72,32.5839,-117.1131,290.15,6.17
Grindavik,3416888,75,IS,1613163037,70,63.8424,-22.4338,278.15,14.92
Rikitea,4030556,42,PF,1613162860,72,-23.1203,-134.9692,299.85,4.4
Qaqortoq,3420846,75,GL,1613162871,31,60.7167,-46.0333,280.15,14.4
Cidreira,3466165,100,BR,1613162889,81,-30.1811,-50.2056,297.89,6.46
Bambanglipuro,1650434,99,ID,1613163294,88,-7.95,110.2833,297.47,1.2
Butaritari,2110227,9,KI,1613163092,84,3.0707,172.7902,300.24,4.42
Stephenville,4734350,90,US,1613163294,86,32.2207,-98.2023,269.15,5.66
Caxito,2242001,0,AO,1613163295,78,-8.5785,13.6643,300.15,3.6
Flinders,6255012,98,AU,1613163132,92,-34.5833,150.8552,293.71,1.79
Hermanus,3366880,8,ZA,1613163086,81,-34.4187,19.2345,295.37,2.0
Pisco,3932145,0,PE,1613163098,54,-13.7,-76.2167,302.15,7.72
Aklavik,5882953,40,CA,1613163109,77,68.2191,-135.0107,248.15,2.06
Puerto Ayora,3652764,40,EC,1613163095,70,-0.7393,-90.3518,303.15,4.12
Varkala,1253392,20,IN,1613163295,73,8.7341,76.7067,299.15,2.7
Russell,4047434,90,US,1613163296,82,32.3502,-85.1999,290.15,5.14
La Ronge,6050066,47,CA,1613163132,63,55.1001,-105.2842,246.15,2.57
Araouane,2460954,0,ML,1613163088,13,18.9048,-3.5265,299.08,4.52
Vao,2137773,39,NC,1613163089,79,-22.6667,167.4833,298.54,3.24
Jamestown,5122534,1,US,1613162861,46,42.097,-79.2353,270.37,1.54
Yangi Marg`ilon,1513491,100,UZ,1613163097,46,40.4272,71.7189,282.15,3.09
Qaanaaq,3831208,0,GL,1613162890,70,77.484,-69.3632,253.95,1.44
Lakes Entrance,2160735,80,AU,1613163297,85,-37.8811,147.981,288.71,0.45
Cape Town,3369157,0,ZA,1613162822,83,-33.9258,18.4232,295.37,7.72
Lamu,189741,75,KE,1613163250,83,-2.2717,40.902,299.15,3.6
Broome,5110365,90,US,1613163124,41,42.2506,-75.833,267.04,2.06
Novosokol'niki,517921,100,RU,1613163298,88,56.3463,30.1578,259.92,6.7
Hasaki,2112802,20,JP,1613163124,93,35.7333,140.8333,276.15,3.09
Praia da Vitória,3372760,20,PT,1613163184,72,38.7333,-27.0667,288.71,7.95
Alcúdia,2522091,19,ES,1613163298,72,39.8532,3.1214,287.04,1.34
Nelson Bay,2155562,40,AU,1613163298,100,-32.7167,152.15,295.93,2.06
Sobolevo,525426,100,RU,1613163172,94,54.4299,31.8996,260.01,10.59
Clyde River,5924351,75,CA,1613163114,84,70.4692,-68.5914,252.15,7.2
Necochea,3430443,96,AR,1613163132,77,-38.5473,-58.7368,296.48,2.68
Erzin,296852,0,TR,1613163143,87,36.9559,36.2,287.59,1.57
Gvardeysk,557710,40,RU,1613163299,85,54.6477,21.0651,270.93,2.35
Bluff,2206939,97,NZ,1613163092,89,-46.6,168.3333,285.93,0.89
Wyndham,4794814,90,US,1613163068,86,37.6985,-77.6125,272.15,2.06
Srednekolymsk,2121025,0,RU,1613163099,82,67.45,153.6833,239.61,2.84
San Juan Bautista,3929493,0,PE,1613163300,54,-14.0108,-75.7358,302.15,7.72
Belmonte,3470137,20,BR,1613163121,74,-15.8631,-38.8828,301.15,2.06
Lompoc,5367788,75,US,1613163001,67,34.6391,-120.4579,288.71,7.2
Chumikan,2025256,100,RU,1613163300,96,54.7183,135.315,263.16,2.76
Bambous Virieux,1106677,40,MU,1613162889,78,-20.3428,57.7575,299.26,7.72
Mar del Plata,3430863,90,AR,1613162869,94,-38.0023,-57.5575,294.82,7.2
East London,1006984,67,ZA,1613162884,79,-33.0153,27.9116,298.82,4.69
Kaseda-shirakame,1859964,96,JP,1613163301,80,31.4167,130.3167,287.96,6.55
Richards Bay,962367,46,ZA,1613163111,91,-28.783,32.0377,297.16,0.24
Hobart,2163355,75,AU,1613162950,72,-42.8794,147.3294,288.15,2.06
Pitimbu,3391889,75,BR,1613163103,70,-7.4706,-34.8086,302.15,6.69
Sitka,5557293,1,US,1613163100,22,57.0531,-135.33,276.15,5.66
Carnarvon,2074865,90,AU,1613163087,100,-24.8667,113.6333,298.15,3.09
Khatanga,2022572,87,RU,1613162867,85,71.9667,102.5,239.67,3.37
Khovd,1516048,0,MN,1613163127,88,48.0056,91.6419,258.35,0.66
Correia Pinto,3465409,100,BR,1613163303,93,-27.5847,-50.3611,292.61,2.12
Mossamedes,3347019,29,AO,1613163121,73,-15.1961,12.1522,297.1,1.47
Geraldton,2070998,40,AU,1613163115,60,-28.7667,114.6,296.15,3.6
Binga,895057,100,ZW,1613163303,87,-17.6203,27.3414,295.91,0.29
Vila Velha,3445026,75,BR,1613162822,78,-20.3297,-40.2925,300.15,5.66
Berlevåg,780687,0,NO,1613163114,73,70.8578,29.0864,263.15,4.63
Lubaczów,765932,100,PL,1613163304,81,50.157,23.1234,262.04,2.68
Celestún,3531368,14,MX,1613163304,73,20.8667,-90.4,299.59,4.78
Chapais,5919850,90,CA,1613163102,78,49.7834,-74.8492,255.15,3.6
Vostok,2013279,99,RU,1613163305,99,46.4856,135.8833,268.46,1.83
Bredasdorp,1015776,3,ZA,1613163089,73,-34.5322,20.0403,295.15,2.06
Coquimbo,3893629,20,CL,1613162898,64,-29.9533,-71.3436,294.15,4.63
Mahajanga,1062663,40,MG,1613163305,94,-15.7167,46.3167,300.15,1.03
Katsuura,2112309,75,JP,1613162842,76,35.1333,140.3,280.15,2.06
Ribeira Grande,3372707,40,PT,1613162865,77,38.5167,-28.7,289.15,10.29
Gilgit,1178338,77,PK,1613163306,58,35.9221,74.3087,274.35,1.47
Omboué,2396853,100,GA,1613163306,87,-1.5746,9.2618,299.54,2.91
Arrondissement de Bar-le-Duc,3034910,0,FR,1613163306,58,48.75,5.1667,269.15,6.69
Noumea,2139521,0,NC,1613163306,83,-22.2763,166.4572,299.26,1.03
Baruun-Urt,2032614,91,MN,1613163123,86,46.6806,113.2792,255.2,3.5
Progreso,3521108,75,MX,1613163307,40,21.2833,-89.6667,307.15,4.12
Rawson,3839307,6,AR,1613163116,60,-43.3002,-65.1023,295.57,4.95
Hong Kong,1819729,26,HK,1613163102,78,22.2855,114.1577,290.37,1.54
Xiaoweizhai,1789945,93,CN,1613163307,81,26.1903,107.5125,283.63,0.84
Aberdeen,2657832,75,GB,1613163118,100,57.1437,-2.0981,273.15,9.77
Lagoa,3372964,86,PT,1613163108,76,39.05,-27.9833,288.16,12.14
Gamba,2400547,100,GA,1613163308,83,-2.65,10.0,299.68,2.51
Romny,695464,100,UA,1613163308,94,50.751,33.4747,259.15,5.85
Peniche,2264923,100,PT,1613163308,90,39.3558,-9.3811,284.82,2.24
Moree,2156927,100,AU,1613163308,50,-29.4667,149.85,298.15,7.72
Ponta do Sol,2264557,4,PT,1613163102,73,32.6667,-17.1,287.59,0.89
Castro,3466704,63,BR,1613163091,88,-24.7911,-50.0119,294.19,0.94
Sibolga,1213855,0,ID,1613163309,77,1.7427,98.7792,297.75,1.57
Atuona,4020109,5,PF,1613163085,79,-9.8,-139.0333,299.21,6.47
Kemerovo,1503901,0,RU,1613163309,69,55.3333,86.0833,246.15,1.0
Lebu,3883457,36,CL,1613162923,76,-37.6167,-73.65,290.09,5.87
Laguna,5364271,1,US,1613163113,67,38.421,-121.4238,289.26,1.54
Adré,245669,0,TD,1613163310,21,13.4667,22.2,294.38,4.58
Zyryanka,2119283,94,RU,1613163018,85,65.75,150.85,239.3,1.59
